Run_No.	Date	ID	Peak_No.	N3N2_mean	N3N2_mean_QF	N3N2_sd	N3N2_sd_QF	NO3+NO2_cd_CF	NO3+NO2_CF_QF	N3N2_mean_c	N3N2_mean_c_QF	N3N2_sd_c	N3N2_sd_c_QF	Si_mean	Si_mean_QF	Si_stdev	Si_sd_QF	Si(OH)4_cd_CF	Si(OH)4_CF_QF	Si_mean_c	Si_mean_c_QF	Si_sd_c	Si_sd_c_QF	PO4_mean	PO4_mean_QF	PO4_sd	PO4_sd_QF	PO4_cd_CF	PO4_CF_QF	PO4_mean_c	PO4_mean_c_QF	PO4_sd_c	PO4_sd_c_QF	NO2_mean	NO2_mean_QF	NO2_stdev	NO2_sd_QF	NO2_cd_CF	NO2_CF_QF	NO2_mean_c	NO2_mean_c_QF	NO2_sd_c	NO2_sd_c_QF	T(D)N_mean	T(D)N_mean_QF	T(D)N_sd	T(D)N_sd_QF	T(D)N_CF	T(D)N_CF_QF	T(D)N_mean_c	T(D)N_mean_c_QF	T(D)N_sd_c	T(D)N_sd_c_QF	T(D)P_mean	T(D)P_mean_QF	T(D)P_sd	T(D)P_sd_QF	T(D)P_CF	T(D)P_CF_QF	T(D)P_mean_c	T(D)P_mean_c_QF	T(D)P_sd_c	T(D)P_sd_c_QF	NH4_mean	NH4_mean_QF	NH4_stdev	NH4_sd_QF	NH4_cd_CF	NH4_cd_CF_QF	NH4_mean_c	NH4_mean_c_QF	NH4_sd_c	NH4_sd_c_QF
1	09.02.21	718	127	4.331	2	0.004	2	0.931	11	4.030	2	0.003	2	1.930	2	0.006	2	1.230	11	2.374	2	0.007	2	0.419	2	0.000	2	1.000	2	0.419	2	0.000	2	0.020	2	0.001	2	0.367	2	0.007	2	0.000	2	6.506	2	0.037	2	1.206	2	7.849	2	0.044	2	0.281	4	0.002	4	1.209	4	0.339	4	0.003	4	0.215	2	0.002	2	1.136	2	0.244	2	0.002	2

1	09.02.21	719	129	4.319	2	0.002	2	0.931	11	4.019	2	0.002	2	1.924	2	0.007	2	1.230	11	2.366	2	0.009	2	0.412	2	0.000	2	1.000	2	0.412	2	0.000	2	0.017	2	0.001	2	0.367	2	0.006	2	0.000	2	5.968	2	0.048	2	1.206	2	7.200	2	0.058	2	0.304	4	0.008	4	1.209	4	0.368	4	0.010	4	0.038	2	0.002	2	1.136	2	0.043	2	0.002	2

1	09.02.21	720	133	4.347	2	0.046	2	0.931	11	4.045	2	0.043	2	1.960	2	0.011	2	1.230	11	2.410	2	0.013	2	0.433	2	0.007	2	1.000	2	0.433	2	0.007	2	0.016	2	0.001	2	0.367	2	0.006	2	0.001	2	5.537	2	0.054	2	1.206	2	6.680	2	0.065	2	0.448	4	0.217	4	1.209	4	0.541	4	0.262	4	0.148	2	0.066	2	1.136	2	0.167	2	0.075	2

1	09.02.21	721	135	4.298	2	0.002	2	0.931	11	3.999	2	0.002	2	1.935	2	0.004	2	1.230	11	2.379	2	0.004	2	0.422	2	0.004	2	1.000	2	0.422	2	0.004	2	0.019	2	0.001	2	0.367	2	0.007	2	0.000	2	5.857	2	0.017	2	1.206	2	7.066	2	0.020	2	0.300	4	0.006	4	1.209	4	0.362	4	0.008	4	0.183	2	0.006	2	1.136	2	0.208	2	0.006	2

1	09.02.21	722	137	4.309	2	0.000	2	0.931	11	4.010	2	0.000	2	1.916	2	0.008	2	1.230	11	2.356	2	0.010	2	0.422	2	0.002	2	1.000	2	0.422	2	0.002	2	0.017	2	0.001	2	0.367	2	0.006	2	0.000	2	5.794	2	0.060	2	1.206	2	6.989	2	0.073	2	0.290	4	0.002	4	1.209	4	0.350	4	0.003	4	0.045	2	0.006	2	1.136	2	0.051	2	0.006	2

